	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ccm2	723.576150400663	0.061251856566593	0.108416813112698	0.564966399657243	0.572096618539924	0.999680625307699
Tbrg4	379.203074135959	-0.198270408072233	0.108016572067928	-1.83555545483842	0.0664234303737631	0.999680625307699
Tmprss2	19.3199776897734	-0.774999700877258	0.607418194246611	-1.27589148336016	0.201993882093078	0.999680625307699
Mx1	209.243164669652	0.136437752731394	0.240785335357421	0.566636471149153	0.570961190881836	0.999680625307699
Fap	1384.98013307641	0.026609525244874	0.283686549069315	0.0937990374664268	0.925268796305766	0.999680625307699
Ndufa9	770.171461839624	0.0641202993194455	0.0899369295213118	0.712947391696881	0.475878311677174	0.999680625307699
Egfl6	86.4140889247657	0.172226960423677	0.317338331911883	0.542723469257728	0.587320212732219	0.999680625307699
Lck	74.1578881682033	-0.220282380136286	0.285109057776979	-0.772624980257895	0.439744356301419	0.999680625307699
Tssk3	1.66628399555536	0.234257842579606	1.576319649777	0.148610621337332	0.881860891469024	0.999680625307699
Cttnbp2	108.980673637901	-0.0768391837480327	0.191730631165703	-0.40076634224202	0.688592161406908	0.999680625307699
Galnt1	1570.99038476541	0.0165656092030144	0.0646736655464404	0.256141492260386	0.797841584177408	0.999680625307699
Myf5	1.00376061415775	-0.116074093146234	1.68010682146449	-0.0690873292479436	0.944920106724553	0.999680625307699
Mkrn2	271.188198231553	0.0653533458142376	0.116429853403411	0.56131090011596	0.574585612147002	0.999680625307699
Pparg	93.2215296469166	0.140863396131604	0.207859295009438	0.677686297960394	0.497970615973333	0.999680625307699
Raf1	514.040078807504	0.00581941535506875	0.0855594942960309	0.0680160092453785	0.945772890261462	0.999680625307699
Sept1	220.571483659165	-0.118169886471687	0.181675976733722	-0.650443105336296	0.515406041283593	0.999680625307699
Pdgfb	904.522403739098	0.112936923182376	0.119933088951332	0.941666092067421	0.346363620357989	0.999680625307699
Acvrl1	1813.63585737584	0.148257827648408	0.097148120516135	1.52610083304478	0.126984754653957	0.999680625307699
Grasp	466.207110291795	-0.0103894946079634	0.169564182407995	-0.0612717524445394	0.951142786805503	0.999680625307699
Acvr1b	928.303222873062	-0.0463447503673251	0.0801519303629932	-0.578211281468061	0.563121483108992	0.999680625307699
Tom1l2	2267.35259716636	-0.0224565552186503	0.0577125405495485	-0.389110494960284	0.697194410220051	0.999680625307699
Zfp385a	1375.6642336292	-0.0154719119321448	0.0935834491012728	-0.165327438566638	0.868686263126606	0.999680625307699
Itga5	950.598904612574	-0.116749821205935	0.153435508875937	-0.760904839181229	0.446713907950182	0.999680625307699
Gabra2	1.23221199121174	1.42006792911106	1.73787194724646	0.817130359553283	0.413853934885978	0.999680625307699
Wdr77	221.179914710465	0.0683202004671575	0.123051778661211	0.555215058331325	0.578747570280483	0.999680625307699
Adora3	15.0061320864856	-0.39020077627925	0.479712628538722	-0.813405261954145	0.415985743437006	0.999680625307699
Atp5pb	1931.46388233332	0.0349394622731168	0.0718516865540873	0.486271985373866	0.626774339053331	0.999680625307699
Sox9	415.743442043272	-0.392013647627235	0.190019891694181	-2.06301374099372	0.0391113226692682	0.999680625307699
Hnrnpd	1291.45616794256	0.0641346754010068	0.0752376846584212	0.852427552657661	0.39397683315645	0.999680625307699
Dynlt1c	75.2762389107514	0.299145353704243	0.209735102613017	1.4263008431936	0.153781521335446	0.999680625307699
C1d	513.69243003266	0.129667370051703	0.0941278447160742	1.37756654731477	0.168337155297125	0.999680625307699
Gm2a	2309.57264670602	0.0348868816798773	0.0715879456312583	0.487328996135408	0.626025202395965	0.999680625307699
Krit1	545.025717027208	-0.0506288097152203	0.0922254033716402	-0.548968156975163	0.583027302761256	0.999680625307699
Clcn4	1623.59293755917	0.0176521544879621	0.0598103227015016	0.295135583468753	0.767890308061389	0.999680625307699
Grm6	121.771158766897	0.50574560264338	0.644137974485643	0.785151043217453	0.432365015451605	0.999680625307699
Sema4f	63.9013746618442	0.165413304843523	0.230161078466477	0.718684957272718	0.472335053880964	0.999680625307699
Hk2	339.076269968751	0.159334202451818	0.177035344945178	0.900013511432753	0.368113060351316	0.999680625307699
Myo18a	2635.0183266289	0.0325827975334753	0.0685538323336326	0.475287761811824	0.634581880825651	0.999680625307699
Sez6	106.733119313408	0.491028909196753	0.288925305561197	1.69950121967682	0.0892247849589452	0.999680625307699
Haao	55.1714133955755	0.163041587975175	0.275597960288564	0.59159214315107	0.554123736346975	0.999680625307699
Cd52	391.173604539581	0.131181929189141	0.148624691303478	0.882638867328442	0.377431421605026	0.999680625307699
Abhd15	28.6358157976788	0.0206691049400706	0.403368526943154	0.0512412435762084	0.95913328737274	0.999680625307699
Hoxb6	2.80501642674294	0.30405826380761	1.2588145321876	0.241543337825319	0.809134031866786	0.999680625307699
Loxl3	1396.59208305642	0.036122409924967	0.1381402990125	0.261490746604642	0.793714084496931	0.999680625307699
Btn1a1	3.34673106022828	-2.70155506008019	1.96308298116969	-1.37617975704241	0.168765987659935	0.999680625307699
Kat2b	946.496609197709	-0.0553690130649478	0.121854085622766	-0.454387826078792	0.649549712996668	0.999680625307699
Rab5b	1884.87174918692	-0.00175740334811032	0.056695130677329	-0.0309974300634792	0.975271589201652	0.999680625307699
Dnmt3l	0.91660557595291	2.73402229881756	1.99017142209738	1.37376221387817	0.169515515409432	0.999680625307699
Aire	3.92059554583682	-0.299615868971932	0.987381973167177	-0.30344474287987	0.761550952116848	0.999680625307699
